y,avg_phi,avg_rho,avg_ux,analytical_ux
0,6.66667,1000,1,0.446512
1,14.207,1000,1,0.448087
2,17.8836,1000,-1,0.449662
3,18.8673,1000,-1,0.451237
4,18.8979,1000,1,0.452812
5,18.9925,1000,1,0.454387
6,18.9994,1000,1,0.455962
7,18.9999,1000,1,0.457537
8,18.9997,1000,-1,0.459112
9,19,1000,-1,0.460687
10,18.9973,1000,1,0.462262
11,18.9974,1000,-1,0.463837
12,18.9013,1000,1,0.465413
13,16.4994,1000,1,0.466987
14,18.9864,1000,-1,0.468562
15,21.4999,1000,1,0.470137
16,15.6319,1000,-1,0.471712
17,18.9049,1000,1,0.473287
18,21.4483,1000,1,0.474862
19,18.9882,1000,-1,0.476437
20,17.9043,1000,-1,0.478012
21,18.926,1000,-0.478019,0.479587
22,19.3315,1000,1,0.481162
23,16.5964,1000,-1,0.482737
24,12.755,1000,-1,0.484312
25,21.0321,1000,1,0.485887
26,11.9027,1000,1,0.487462
27,21.083,1000,1,0.489037
28,22.3111,1000,-1,0.490613
29,16.4149,1000,1,0.492188
30,15.859,1000,1,0.493762
31,19.409,1000,-1,0.495337
32,21.081,1000,-1,0.0337375
33,17.5596,1000,1,0.0012375
34,18.5337,1000,-1,-0.0322625
35,19.6728,1000,-1,-0.0667625
36,12.766,1000,-1,-0.102262
37,21.3805,1000,1,-0.138762
38,15.0092,1000,1,-0.176262
39,15.4458,1000,-1,-0.214762
40,12.6644,1000,1,-0.254262
41,24.3947,1000,1,-0.294762
42,12.7819,1000,1,-0.336262
43,15.4879,1000,1,-0.378762
44,18.7758,1000,-1,-0.422262
45,21.6622,1000,1,-0.466762
46,22.2126,1000,1,-0.512262
47,15.8108,1000,-1,-0.558762
48,15.575,1000,-1,-0.606262
49,18.9977,1000,-1,-0.654762
50,18.488,1000,1,-0.704262
51,18.9881,1000,1,-0.754762
52,18.9976,1000,-1,-0.806262
53,18.9999,1000,1,-0.858762
54,19,1000,1,-0.912262
55,19,1000,-1,-0.966762
56,18.9999,1000,-1,-1.02226
57,18.9984,1000,1,-1.07876
58,18.9963,1000,-1,-1.13626
59,17.7375,1000,-1,-1.19476
60,13.9059,1000,1,-1.25426
61,16.8978,1000,1,-1.31476
62,13.9562,1000,-1,-1.37626
63,6.66667,1000,1,-1.43876
